2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
